--------------------
Env: Atari-Alien-v5
Timestep	Seed 0		Seed 1		Seed 2		Seed 3		Seed 4		Seed 5		Seed 6		Seed 7		Seed 8		Seed 9
900000		1137.300	1378.600	1186.200	972.500		1093.500	1104.000	1090.400	1110.800	1146.900	1053.600
1000000		1124.900	1042.700	1116.900	1203.800	1070.400	1088.900	1200.700	1143.200	1087.200	1180.500
1100000		1142.800	1166.700	1307.900	1117.400	1095.500	1130.900	1155.300	1416.300	1233.600	1123.900
1200000		1058.000	1094.000	1293.000	1102.800	1187.600	1042.800	1321.500	1196.800	1258.100	1074.700
1300000		1264.700	1229.200	1312.900	1203.600	1305.600	1112.100	1173.100	1425.400	1181.500	1176.500
1400000		1286.400	1216.000	1380.900	1169.100	1202.400	1111.200	1235.300	1179.900	1034.700	1244.500
1500000		1338.100	1143.500	1242.500	1203.800	1314.800	1158.600	1278.400	1264.700	947.600		1257.000
1600000		1324.400	1290.900	1293.000	1111.100	1117.500	1129.000	1343.500	1323.600	1297.100	1160.500
1700000		1129.200	1222.700	1209.900	1257.200	1087.800	1169.000	1384.300	1321.600	1102.000	1276.200
1800000		1277.400	1285.200	1456.900	1132.000	1255.400	1307.600	1349.700	1362.000	1268.700	1121.600
1900000		1197.500	1399.900	1315.200	1160.600	1226.500	1191.800	1319.400	1232.200	1147.100	1292.900
2000000		1187.800	1203.700	1365.500	1264.500	1248.800	1142.900	1313.200	1401.300	1335.600	1226.300
2100000		1227.100	1404.100	1335.200	1245.800	1435.900	1116.500	1480.100	1339.300	1383.400	1236.600
2200000		1205.900	1254.900	1411.400	1328.400	1248.800	1232.100	1261.500	1188.100	1232.000	1310.700
2300000		1212.400	1339.900	1359.100	1301.200	1337.900	1328.600	1431.800	1316.400	1279.400	1502.200
2400000		1433.600	1365.400	1394.100	1302.400	1191.100	1182.600	1357.000	1266.800	1291.900	1339.100
2500000		1247.600	1425.400	1388.400	1360.200	1230.100	1192.000	1236.500	1230.200	1338.100	1313.400
--------------------
Env: Atari-Asterix-v5
Timestep	Seed 0		Seed 1		Seed 2		Seed 3		Seed 4		Seed 5		Seed 6		Seed 7		Seed 8		Seed 9
0		300.000		215.000		190.000		285.000		300.000		270.000		200.000		340.000		255.000		310.000
100000		1090.000	845.000		635.000		1420.000	750.000		1110.000	1190.000	785.000		1020.000	1270.000
200000		1230.000	1100.000	960.000		1490.000	1290.000	1025.000	1855.000	1105.000	1160.000	1325.000
300000		1495.000	1150.000	1450.000	1710.000	1635.000	1385.000	2205.000	1050.000	1335.000	1890.000
400000		1575.000	1240.000	1295.000	1835.000	2435.000	1810.000	2600.000	1435.000	1245.000	1550.000
500000		1550.000	1315.000	1340.000	2415.000	2245.000	2040.000	2260.000	2015.000	1635.000	1915.000
600000		1495.000	1580.000	1740.000	2220.000	2220.000	2045.000	1955.000	1280.000	1690.000	1625.000
700000		1605.000	1595.000	1895.000	2200.000	2410.000	2365.000	2695.000	2180.000	2190.000	1700.000
800000		1600.000	1955.000	1965.000	2095.000	2525.000	1610.000	2420.000	1690.000	2090.000	2115.000
900000		2280.000	1725.000	1625.000	2755.000	1975.000	2235.000	2840.000	1740.000	2485.000	2225.000
1000000		2115.000	2155.000	1795.000	2395.000	2145.000	2250.000	2575.000	2545.000	2085.000	2105.000
1100000		2480.000	2160.000	2450.000	2250.000	1990.000	2730.000	2865.000	2720.000	2290.000	2095.000
1200000		2340.000	2410.000	2250.000	2390.000	2115.000	2025.000	2555.000	2120.000	2475.000	2380.000
1300000		2705.000	2035.000	2235.000	2340.000	2180.000	2360.000	3020.000	2350.000	2775.000	2615.000
1400000		2550.000	2265.000	2745.000	2425.000	2050.000	2115.000	2725.000	2635.000	2920.000	2310.000
1500000		2305.000	2415.000	2495.000	2460.000	2345.000	2160.000	2690.000	2430.000	2515.000	2180.000
1600000		2410.000	2200.000	2765.000	2640.000	2635.000	3380.000	2660.000	2115.000	2465.000	2735.000
1700000		3135.000	2310.000	2295.000	3020.000	2010.000	2875.000	2520.000	2315.000	2845.000	2500.000
1800000		2880.000	2010.000	2765.000	2760.000	2755.000	2960.000	2920.000	2810.000	2935.000	2485.000
1900000		3085.000	1780.000	2385.000	2260.000	2450.000	2920.000	2730.000	3580.000	2795.000	2770.000
2000000		2305.000	2715.000	2875.000	2825.000	2430.000	2695.000	3345.000	3120.000	3115.000	2670.000
2100000		2680.000	2855.000	2585.000	2470.000	2145.000	2720.000	3630.000	2730.000	2795.000	2375.000
2200000		3015.000	2550.000	2445.000	2785.000	2895.000	3305.000	4095.000	4160.000	3310.000	3760.000
2300000		3165.000	2235.000	3085.000	2750.000	3000.000	3050.000	2670.000	3510.000	3605.000	2460.000
2400000		2990.000	2640.000	2830.000	3500.000	2675.000	3160.000	3180.000	2995.000	3960.000	2560.000
2500000		2710.000	2890.000	2615.000	3810.000	2845.000	3535.000	4865.000	3040.000	3925.000	3350.000
--------------------
Env: Atari-Asteroids-v5
Timestep	Seed 0		Seed 1		Seed 2		Seed 3		Seed 4		Seed 5		Seed 6		Seed 7		Seed 8		Seed 9
0		569.000		1313.000	711.000		626.000		964.000		843.000		1143.000	550.000		985.000		687.000
100000		421.000		419.000		372.000		491.000		341.000		476.000		564.000		421.000		322.000		351.000
200000		491.000		464.000		463.000		471.000		685.000		599.000		433.000		431.000		559.000		560.000
300000		688.000		481.000		524.000		514.000		475.000		504.000		819.000		484.000		478.000		339.000
400000		695.000		470.000		567.000		503.000		422.000		746.000		520.000		482.000		491.000		607.000
500000		701.000		492.000		744.000		558.000		667.000		580.000		578.000		748.000		589.000		601.000
600000		720.000		563.000		500.000		703.000		626.000		501.000		682.000		524.000		624.000		569.000
700000		738.000		384.000		611.000		664.000		604.000		605.000		604.000		631.000		298.000		361.000
800000		683.000		633.000		606.000		533.000		575.000		509.000		601.000		578.000		522.000		567.000
900000		706.000		529.000		800.000		741.000		744.000		717.000		655.000		466.000		668.000		518.000
1000000		712.000		639.000		795.000		775.000		716.000		554.000		638.000		412.000		320.000		462.000
1100000		581.000		686.000		717.000		887.000		584.000		509.000		726.000		678.000		623.000		533.000
1200000		878.000		544.000		617.000		600.000		573.000		337.000		805.000		673.000		453.000		593.000
1300000		669.000		690.000		716.000		760.000		745.000		466.000		617.000		736.000		777.000		597.000
1400000		758.000		509.000		809.000		758.000		675.000		492.000		554.000		600.000		713.000		666.000
1500000		888.000		593.000		738.000		748.000		810.000		627.000		440.000		585.000		448.000		503.000
1600000		771.000		854.000		891.000		490.000		622.000		503.000		651.000		520.000		700.000		576.000
1700000		673.000		668.000		724.000		683.000		738.000		583.000		654.000		609.000		447.000		549.000
1800000		859.000		656.000		863.000		626.000		679.000		549.000		600.000		697.000		766.000		760.000
1900000		690.000		576.000		731.000		453.000		862.000		554.000		725.000		663.000		707.000		594.000
2000000		772.000		653.000		800.000		753.000		726.000		402.000		634.000		606.000		689.000		591.000
2100000		797.000		621.000		686.000		554.000		783.000		653.000		736.000		507.000		695.000		611.000
2200000		787.000		528.000		653.000		581.000		881.000		631.000		506.000		758.000		641.000		397.000
2300000		656.000		844.000		944.000		725.000		760.000		699.000		696.000		593.000		618.000		511.000
2400000		735.000		642.000		743.000		768.000		916.000		813.000		620.000		629.000		618.000		771.000
2500000		770.000		588.000		835.000		909.000		583.000		728.000		758.000		466.000		797.000		723.000
--------------------
Env: Atari-Atlantis-v5
Timestep	Seed 0		Seed 1		Seed 2		Seed 3		Seed 4		Seed 5		Seed 6		Seed 7		Seed 8		Seed 9
0		14460.000	26290.000	4930.000	5900.000	2840.000	2520.000	17050.000	5560.000	24370.000	2850.000
100000		12880.000	3560.000	12860.000	8580.000	22830.000	10800.000	9130.000	16110.000	16660.000	19350.000
200000		15360.000	17840.000	24040.000	29930.000	18430.000	31490.000	16540.000	23570.000	22370.000	24660.000
300000		20730.000	24680.000	49350.000	43290.000	49520.000	19730.000	35430.000	65180.000	40280.000	39770.000
400000		38350.000	33330.000	67420.000	93050.000	87150.000	39210.000	49780.000	41390.000	204580.000	220850.000
500000		43560.000	52110.000	131310.000	143120.000	273710.000	126950.000	107080.000	65000.000	265110.000	706950.000
600000		78030.000	70330.000	219810.000	367990.000	893460.000	215970.000	73340.000	97950.000	200710.000	619310.000
700000		145000.000	75180.000	452090.000	300090.000	382530.000	309450.000	65520.000	88130.000	622590.000	795440.000
800000		178320.000	81390.000	926410.000	360360.000	640460.000	433300.000	116530.000	101480.000	203410.000	718870.000
900000		132370.000	72710.000	923000.000	405680.000	329990.000	921780.000	205580.000	102070.000	723740.000	897810.000
1000000		122550.000	75610.000	915760.000	456580.000	541710.000	635000.000	152950.000	280850.000	390970.000	878240.000
1100000		145330.000	78390.000	310540.000	408280.000	674240.000	430480.000	251860.000	326550.000	806220.000	797530.000
1200000		192470.000	82480.000	680960.000	716310.000	784170.000	430990.000	327870.000	705850.000	698980.000	832050.000
1300000		371770.000	60670.000	588680.000	397260.000	685000.000	619670.000	235290.000	630010.000	372230.000	395150.000
1400000		197910.000	111520.000	751100.000	272480.000	753240.000	343400.000	961920.000	202240.000	335830.000	710040.000
1500000		226280.000	124420.000	849590.000	451830.000	707180.000	452940.000	209550.000	737430.000	270570.000	111130.000
1600000		532320.000	139500.000	773750.000	187950.000	113020.000	708950.000	208350.000	771660.000	152340.000	373530.000
1700000		463790.000	102870.000	474900.000	442050.000	384390.000	340210.000	776680.000	672860.000	472780.000	374140.000
1800000		740060.000	171570.000	348000.000	415880.000	259660.000	505630.000	484170.000	756400.000	284780.000	731090.000
1900000		476650.000	223160.000	618600.000	486070.000	734170.000	417580.000	630600.000	926420.000	773060.000	602090.000
2000000		113920.000	164930.000	585530.000	500190.000	601640.000	873610.000	695520.000	922870.000	643220.000	710610.000
2100000		203150.000	387760.000	642120.000	483580.000	458710.000	533070.000	663500.000	797840.000	590760.000	585850.000
2200000		487500.000	653120.000	382040.000	666000.000	683450.000	673220.000	579180.000	604830.000	559620.000	732580.000
2300000		878990.000	330260.000	688330.000	867600.000	894420.000	777860.000	565260.000	512050.000	830130.000	625830.000
2400000		926420.000	280740.000	591160.000	958260.000	656640.000	836150.000	828480.000	714420.000	843420.000	568470.000
2500000		456310.000	758880.000	378060.000	616510.000	837810.000	569170.000	520920.000	496040.000	622770.000	311980.000
--------------------
Env: Atari-BankHeist-v5
Timestep	Seed 0		Seed 1		Seed 2		Seed 3		Seed 4		Seed 5		Seed 6		Seed 7		Seed 8		Seed 9
0		8.000		10.000		10.000		9.000		10.000		8.000		8.000		10.000		4.000		26.000
100000		42.000		23.000		27.000		41.000		27.000		1.000		27.000		24.000		28.000		27.000
200000		49.000		41.000		368.000		197.000		136.000		27.000		48.000		80.000		41.000		91.000
300000		92.000		78.000		512.000		331.000		206.000		76.000		80.000		618.000		163.000		129.000
400000		105.000		97.000		880.000		433.000		255.000		144.000		105.000		757.000		203.000		206.000
500000		169.000		131.000		966.000		645.000		311.000		204.000		107.000		834.000		223.000		238.000
600000		190.000		148.000		917.000		522.000		291.000		246.000		115.000		924.000		322.000		259.000
700000		259.000		149.000		1014.000	691.000		320.000		228.000		127.000		957.000		816.000		267.000
800000		280.000		219.000		1011.000	728.000		324.000		240.000		135.000		925.000		855.000		256.000
900000		246.000		210.000		902.000		725.000		375.000		251.000		227.000		1024.000	844.000		318.000
1000000		319.000		221.000		1004.000	706.000		371.000		254.000		272.000		1016.000	962.000		302.000
1100000		334.000		266.000		1015.000	737.000		420.000		278.000		536.000		899.000		988.000		339.000
1200000		391.000		227.000		932.000		744.000		443.000		268.000		763.000		984.000		1055.000	316.000
1300000		531.000		267.000		960.000		773.000		499.000		282.000		889.000		940.000		1065.000	378.000
1400000		682.000		255.000		1057.000	720.000		483.000		303.000		840.000		924.000		1086.000	419.000
1500000		941.000		284.000		1066.000	732.000		517.000		283.000		961.000		1066.000	869.000		409.000
1600000		1002.000	309.000		929.000		695.000		550.000		285.000		958.000		991.000		948.000		335.000
1700000		1036.000	275.000		1110.000	797.000		632.000		294.000		1019.000	1036.000	967.000		442.000
1800000		1009.000	306.000		1051.000	758.000		567.000		300.000		1024.000	998.000		1076.000	493.000
1900000		1061.000	306.000		1050.000	762.000		470.000		333.000		1002.000	1090.000	1010.000	525.000
2000000		1051.000	335.000		940.000		749.000		564.000		356.000		1072.000	993.000		1038.000	536.000
2100000		1016.000	322.000		994.000		783.000		583.000		344.000		919.000		1120.000	945.000		521.000
2200000		1072.000	308.000		1051.000	787.000		587.000		349.000		1106.000	975.000		972.000		552.000
2300000		976.000		344.000		1090.000	773.000		639.000		344.000		1076.000	1013.000	1076.000	617.000
2400000		862.000		352.000		1099.000	737.000		602.000		387.000		1029.000	974.000		1060.000	678.000
2500000		1076.000	356.000		1044.000	785.000		667.000		398.000		985.000		1074.000	1053.000	655.000
--------------------
Env: Atari-BattleZone-v5
Timestep	Seed 0		Seed 1		Seed 2		Seed 3		Seed 4		Seed 5		Seed 6		Seed 7		Seed 8		Seed 9
0		4300.000	1500.000	2400.000	1900.000	1700.000	1500.000	5300.000	4900.000	3100.000	1600.000
100000		6600.000	2500.000	5100.000	2400.000	3600.000	1200.000	7300.000	1000.000	3700.000	8900.000
200000		8600.000	1500.000	4400.000	8700.000	3400.000	2800.000	19500.000	1500.000	6000.000	14800.000
300000		16800.000	1300.000	4600.000	15400.000	5700.000	3000.000	19300.000	4600.000	9100.000	20000.000
400000		20100.000	2900.000	7300.000	18700.000	7900.000	3900.000	22000.000	4200.000	13400.000	17100.000
500000		19100.000	4200.000	8500.000	24900.000	6100.000	3800.000	28800.000	6000.000	16800.000	24300.000
600000		26800.000	6200.000	6500.000	26800.000	7600.000	1700.000	24100.000	6200.000	16600.000	26400.000
700000		23200.000	6500.000	8000.000	26100.000	7900.000	3400.000	24600.000	7700.000	21100.000	24800.000
800000		24800.000	8300.000	8500.000	26700.000	10000.000	3100.000	25600.000	6700.000	20200.000	26800.000
